x,y,species cloglog values
228.0,228.0,0.0028243696
229.0,229.0,0.3951262
230.0,230.0,0.025841588
231.0,231.0,0.8703929
232.0,232.0,0.24575804
233.0,233.0,0.451802
234.0,234.0,0.017975336
235.0,235.0,0.006776321
236.0,236.0,0.7297609
237.0,237.0,0.33213592
238.0,238.0,0.68745697
239.0,239.0,0.06757889
240.0,240.0,0.4789086
241.0,241.0,0.83648676
242.0,242.0,0.07552452
243.0,243.0,0.13626747
244.0,244.0,0.33848843
245.0,245.0,0.70222104
246.0,246.0,0.19185098
247.0,247.0,0.07569045
248.0,248.0,0.06999648
249.0,249.0,0.4710103
250.0,250.0,0.3211901
251.0,251.0,0.50982505
252.0,252.0,0.061538555
253.0,253.0,0.14344203
254.0,254.0,0.013596142
255.0,255.0,0.51708823
256.0,256.0,0.19417931
257.0,257.0,0.17406799
258.0,258.0,0.44468027
259.0,259.0,0.2610558
260.0,260.0,0.50714535
261.0,261.0,0.015002455
262.0,262.0,0.46881247
263.0,263.0,0.011314837
264.0,264.0,0.9092605
265.0,265.0,0.10699788
266.0,266.0,0.08587555
267.0,267.0,0.30118942
268.0,268.0,0.6517931
269.0,269.0,0.56787366
270.0,270.0,0.205295
271.0,271.0,0.6875765
272.0,272.0,1.09421635E-4
273.0,273.0,0.38851085
274.0,274.0,0.7007571
275.0,275.0,0.32171234
276.0,276.0,0.19990653
277.0,277.0,0.2685013
278.0,278.0,0.80929106
279.0,279.0,0.893867
280.0,280.0,0.103589766
281.0,281.0,0.4885516
282.0,282.0,0.019781346
283.0,283.0,0.51949
284.0,284.0,0.3092865
285.0,285.0,0.21284108
286.0,286.0,0.01371175
287.0,287.0,0.043233365
288.0,288.0,0.7624819
289.0,289.0,0.73317534
290.0,290.0,0.18972209
291.0,291.0,0.35680154
292.0,292.0,0.04104753
293.0,293.0,0.0907023
294.0,294.0,0.26770914
295.0,295.0,0.089006774
296.0,296.0,0.4008082
297.0,297.0,0.35671723
298.0,298.0,0.19453438
299.0,299.0,0.010107628
300.0,300.0,0.5401991
301.0,301.0,0.42266446
302.0,302.0,0.5208434
303.0,303.0,0.55983204
304.0,304.0,0.29887944
305.0,305.0,0.6924445
306.0,306.0,0.4804264
307.0,307.0,0.6378212
308.0,308.0,0.20924059
309.0,309.0,0.02947827
310.0,310.0,0.025700256
311.0,311.0,0.07205889
312.0,312.0,0.085196726
313.0,313.0,0.15780742
314.0,314.0,0.18824346
315.0,315.0,0.37713662
316.0,316.0,0.019994369
317.0,317.0,0.3473751
318.0,318.0,0.64555883
319.0,319.0,0.4220318
320.0,320.0,0.36495185
321.0,321.0,0.08133907
322.0,322.0,0.43846193
323.0,323.0,0.023121372
324.0,324.0,0.456696
325.0,325.0,0.6149356
326.0,326.0,0.10353106
327.0,327.0,0.2144869
328.0,328.0,0.82984066
329.0,329.0,0.031387214
330.0,330.0,0.16894495
331.0,331.0,0.16308637
332.0,332.0,0.32927743
333.0,333.0,0.27157515
334.0,334.0,0.4409832
335.0,335.0,0.41682205
336.0,336.0,0.022560704
337.0,337.0,0.62715834
338.0,338.0,0.62467617
339.0,339.0,0.61573917
340.0,340.0,0.90729326
341.0,341.0,0.35072717
342.0,342.0,0.26723245
343.0,343.0,0.49075255
344.0,344.0,0.026541235
345.0,345.0,0.29080623
346.0,346.0,0.2224045
347.0,347.0,0.15867081
348.0,348.0,0.14505589
349.0,349.0,0.0720199
350.0,350.0,0.70533013
351.0,351.0,0.17255427
352.0,352.0,0.078871034
353.0,353.0,0.54202
354.0,354.0,0.0050801565
355.0,355.0,0.44687343
356.0,356.0,0.0029539324
357.0,357.0,0.1348619
358.0,358.0,0.51585007
359.0,359.0,0.3964467
360.0,360.0,0.34208584
361.0,361.0,0.132957
362.0,362.0,0.376943
363.0,363.0,0.028739782
364.0,364.0,0.17018428
365.0,365.0,0.5856181
366.0,366.0,0.60965616
367.0,367.0,0.10565662
368.0,368.0,0.7884785
369.0,369.0,0.5553011
370.0,370.0,0.6951227
371.0,371.0,0.7135992
372.0,372.0,0.17176543
373.0,373.0,0.6929325
374.0,374.0,0.92767876
375.0,375.0,0.047747545
376.0,376.0,0.014422121
377.0,377.0,0.033830393
378.0,378.0,0.009172035
379.0,379.0,0.29308438
380.0,380.0,0.22929628
381.0,381.0,0.6993929
382.0,382.0,0.11848987
383.0,383.0,0.015210587
384.0,384.0,0.25272614
385.0,385.0,0.78384936
386.0,386.0,0.8547727
387.0,387.0,0.6420042
388.0,388.0,0.15981081
389.0,389.0,0.93112224
390.0,390.0,0.29836926
391.0,391.0,0.047145054
392.0,392.0,0.066056214
393.0,393.0,0.08068721
394.0,394.0,0.2392257
395.0,395.0,0.69310015
396.0,396.0,0.16200069
397.0,397.0,0.6390804
398.0,398.0,0.07339485
399.0,399.0,0.0019083552
400.0,400.0,0.2659408
401.0,401.0,0.6726592
402.0,402.0,0.52022797
403.0,403.0,0.5497808
404.0,404.0,0.57923913
405.0,405.0,0.6113845
406.0,406.0,0.182562
407.0,407.0,0.12161552
408.0,408.0,0.50150156
409.0,409.0,0.25438106
410.0,410.0,0.695452
411.0,411.0,0.2754351
412.0,412.0,0.030988647
413.0,413.0,0.48857233
414.0,414.0,0.17772944
415.0,415.0,0.37167907
416.0,416.0,0.9074525
417.0,417.0,0.19965428
418.0,418.0,0.193069
419.0,419.0,0.10694092
420.0,420.0,0.046177603
421.0,421.0,0.036488354
422.0,422.0,0.3092207
423.0,423.0,0.5440321
424.0,424.0,0.04315832
425.0,425.0,0.35116988
426.0,426.0,0.5246576
427.0,427.0,0.17496493
428.0,428.0,0.5738153
429.0,429.0,0.041024312
430.0,430.0,0.7527104
431.0,431.0,0.44720697
432.0,432.0,0.015110682
433.0,433.0,0.4328679
434.0,434.0,0.2900865
435.0,435.0,0.61199385
436.0,436.0,0.057300214
437.0,437.0,0.701215
438.0,438.0,0.014781415
439.0,439.0,0.75424755
440.0,440.0,0.021848451
441.0,441.0,0.2647714
442.0,442.0,0.2921604
443.0,443.0,0.6367685
444.0,444.0,0.78815746
445.0,445.0,0.9701549
446.0,446.0,0.5638511
447.0,447.0,0.4418698
448.0,448.0,0.14509808
449.0,449.0,0.013340088
450.0,450.0,0.09292399
451.0,451.0,0.21912621
452.0,452.0,0.008042687
453.0,453.0,0.38295868
454.0,454.0,0.3687381
455.0,455.0,0.55716884
456.0,456.0,0.08252901
457.0,457.0,0.05024604
458.0,458.0,0.03438989
459.0,459.0,0.14323613
460.0,460.0,0.21367715
461.0,461.0,0.566998
462.0,462.0,0.009068574
463.0,463.0,0.41555962
464.0,464.0,0.1599206
465.0,465.0,0.78487915
466.0,466.0,0.04578891
467.0,467.0,0.66041636
468.0,468.0,0.05389274
469.0,469.0,0.5816988
470.0,470.0,0.14213681
471.0,471.0,0.2882056
472.0,472.0,0.8650607
473.0,473.0,0.009670933
474.0,474.0,0.6480532
475.0,475.0,0.91429436
476.0,476.0,0.63642836
477.0,477.0,0.83913326
478.0,478.0,0.12281298
479.0,479.0,0.044135317
480.0,480.0,0.10100418
481.0,481.0,0.8356535
482.0,482.0,0.7725629
483.0,483.0,0.07902621
484.0,484.0,0.40554252
485.0,485.0,0.5036179
486.0,486.0,0.123069614
487.0,487.0,0.11972722
488.0,488.0,0.82544726
489.0,489.0,0.17340201
490.0,490.0,0.07033372
491.0,491.0,0.15012112
492.0,492.0,0.0399595
493.0,493.0,0.73400694
494.0,494.0,0.019739373
495.0,495.0,0.64415324
496.0,496.0,0.21425812
497.0,497.0,0.24582343
498.0,498.0,0.8153296
499.0,499.0,0.5967579
500.0,500.0,0.09432849
501.0,501.0,0.26099876
502.0,502.0,0.99226373
503.0,503.0,0.84514457
504.0,504.0,0.11640616
505.0,505.0,0.77250534
506.0,506.0,0.06643032
507.0,507.0,0.24262653
508.0,508.0,0.78454113
509.0,509.0,0.04632085
510.0,510.0,0.12017265
511.0,511.0,0.7362147
512.0,512.0,0.060606223
513.0,513.0,0.32719404
514.0,514.0,0.4264294
515.0,515.0,0.009094372
516.0,516.0,0.5123406
517.0,517.0,0.4408319
518.0,518.0,0.26194388
519.0,519.0,0.6462541
520.0,520.0,0.021819388
521.0,521.0,0.3796264
522.0,522.0,0.3735588
523.0,523.0,0.02237958
524.0,524.0,0.097182766
525.0,525.0,0.08097367
526.0,526.0,0.3968135
527.0,527.0,0.16098224
528.0,528.0,0.5100322
529.0,529.0,0.08833362
530.0,530.0,0.11948272
531.0,531.0,0.2302403
532.0,532.0,0.022755133
533.0,533.0,0.12817542
534.0,534.0,0.38231897
535.0,535.0,0.32192087
536.0,536.0,0.25033012
537.0,537.0,0.31067827
538.0,538.0,0.74098176
539.0,539.0,0.10531284
540.0,540.0,0.49965844
541.0,541.0,0.5257161
542.0,542.0,0.028400801
543.0,543.0,0.25676498
544.0,544.0,0.6329478
545.0,545.0,0.90421176
546.0,546.0,0.6247883
547.0,547.0,0.5696375
548.0,548.0,0.018264601
549.0,549.0,0.36596757
550.0,550.0,0.01629304
551.0,551.0,0.34420666
552.0,552.0,0.019410916
553.0,553.0,0.05909877
554.0,554.0,0.26344642
555.0,555.0,0.5128109
556.0,556.0,0.5782635
557.0,557.0,0.38697225
558.0,558.0,0.04319051
559.0,559.0,0.19955249
560.0,560.0,0.3559812
561.0,561.0,0.1268521
562.0,562.0,0.28761393
563.0,563.0,0.9253376
564.0,564.0,0.1859881
565.0,565.0,0.38913506
566.0,566.0,0.60678667
567.0,567.0,0.6386395
568.0,568.0,0.029921701
569.0,569.0,0.82461196
570.0,570.0,0.74539256
571.0,571.0,0.64121735
572.0,572.0,0.09208829
573.0,573.0,0.43882614
574.0,574.0,0.21373223
575.0,575.0,0.18566084
576.0,576.0,0.019416662
577.0,577.0,0.06910342
578.0,578.0,0.7679915
579.0,579.0,0.01018967
580.0,580.0,0.11114626
581.0,581.0,0.17381176
582.0,582.0,0.28987032
583.0,583.0,0.7258864
584.0,584.0,0.047587674
585.0,585.0,0.7156428
586.0,586.0,0.38834548
587.0,587.0,0.15260826
588.0,588.0,0.029951073
589.0,589.0,0.014834235
590.0,590.0,0.51029754
591.0,591.0,0.27198625
592.0,592.0,0.35197833
593.0,593.0,0.1098973
594.0,594.0,0.24347205
595.0,595.0,0.39873996
596.0,596.0,0.739864
597.0,597.0,0.19493869
598.0,598.0,0.45191863
599.0,599.0,0.40431353
600.0,600.0,0.65307623
601.0,601.0,0.031579506
602.0,602.0,0.4619329
603.0,603.0,0.34285694
604.0,604.0,0.01480606
605.0,605.0,0.019613426
606.0,606.0,0.66647625
607.0,607.0,0.42010504
608.0,608.0,0.85525894
609.0,609.0,0.56507796
610.0,610.0,0.052975636
611.0,611.0,0.5382175
612.0,612.0,0.2547237
613.0,613.0,0.55142236
614.0,614.0,0.21215864
615.0,615.0,0.5673871
616.0,616.0,0.5466361
617.0,617.0,0.21849713
618.0,618.0,0.11208802
619.0,619.0,0.07279246
620.0,620.0,0.7579121
621.0,621.0,0.64036554
622.0,622.0,0.9508292
623.0,623.0,0.8315458
624.0,624.0,0.29748866
625.0,625.0,0.45060438
626.0,626.0,0.15357879
627.0,627.0,0.015774
628.0,628.0,0.7031878
629.0,629.0,0.04671826
630.0,630.0,0.70380455
631.0,631.0,0.029688068
632.0,632.0,0.597792
633.0,633.0,0.042573236
634.0,634.0,0.62135434
635.0,635.0,0.4598312
636.0,636.0,0.15505634
637.0,637.0,0.15712328
638.0,638.0,0.0030882782
639.0,639.0,0.14229587
640.0,640.0,0.23137958
641.0,641.0,0.017146366
642.0,642.0,0.016051587
643.0,643.0,0.24059235
644.0,644.0,0.058871187
645.0,645.0,0.58408153
646.0,646.0,0.026400162
647.0,647.0,0.35259178
648.0,648.0,0.81021136
649.0,649.0,0.67541414
650.0,650.0,0.6386054
651.0,651.0,0.6140443
652.0,652.0,0.36529356
653.0,653.0,0.5990176
654.0,654.0,0.09529927
655.0,655.0,0.19619483
656.0,656.0,0.0021044975
657.0,657.0,0.2530479
658.0,658.0,0.68882746
659.0,659.0,0.5569775
660.0,660.0,0.91225696
661.0,661.0,0.07336748
662.0,662.0,0.6357226
663.0,663.0,0.43708917
664.0,664.0,0.11734183
665.0,665.0,0.77034944
666.0,666.0,0.20801577
667.0,667.0,0.011785549
668.0,668.0,0.7216717
669.0,669.0,0.12624556
670.0,670.0,0.30667666
671.0,671.0,0.009273694
672.0,672.0,0.45985422
673.0,673.0,0.8674807
674.0,674.0,0.49445915
675.0,675.0,0.040763333
676.0,676.0,0.33775553
677.0,677.0,0.44391403
678.0,678.0,0.37086147
679.0,679.0,0.7878849
680.0,680.0,0.44358733
681.0,681.0,0.23088458
682.0,682.0,0.7882756
683.0,683.0,0.21187913
684.0,684.0,0.85587287
685.0,685.0,0.34705645
686.0,686.0,0.8511906
687.0,687.0,0.74543613
688.0,688.0,0.8716634
689.0,689.0,0.35460302
690.0,690.0,0.11966218
691.0,691.0,0.12304526
692.0,692.0,0.63135403
693.0,693.0,0.1968235
694.0,694.0,0.04247816
695.0,695.0,0.647521
696.0,696.0,0.06448641
697.0,697.0,0.43712863
698.0,698.0,0.46537533
699.0,699.0,0.18417744
700.0,700.0,0.49150732
701.0,701.0,0.75933135
702.0,702.0,0.5929407
703.0,703.0,0.14392014
704.0,704.0,0.6860963
705.0,705.0,0.29828274
706.0,706.0,0.032863498
707.0,707.0,0.036424354
708.0,708.0,0.08622265
709.0,709.0,0.6050747
710.0,710.0,0.023105254
711.0,711.0,0.47985283
712.0,712.0,0.1378844
713.0,713.0,0.6707231
714.0,714.0,0.25026727
715.0,715.0,0.74489784
716.0,716.0,0.1840612
717.0,717.0,0.30493322
718.0,718.0,0.061150823
719.0,719.0,0.5042915
720.0,720.0,0.5484472
721.0,721.0,0.1402323
722.0,722.0,0.42509547
723.0,723.0,0.41857487
724.0,724.0,0.7548994
725.0,725.0,0.9321367
726.0,726.0,0.3607772
727.0,727.0,0.6921104
728.0,728.0,0.3501578
729.0,729.0,0.7814437
730.0,730.0,0.121914804
731.0,731.0,0.08218052
732.0,732.0,0.40705445
733.0,733.0,0.92250705
734.0,734.0,0.0044094375
735.0,735.0,0.5917437
736.0,736.0,0.33409953
737.0,737.0,0.25147608
738.0,738.0,0.25584456
739.0,739.0,0.6223132
740.0,740.0,0.5863513
741.0,741.0,0.016926723
742.0,742.0,0.06722073
743.0,743.0,0.91721106
744.0,744.0,0.2366254
745.0,745.0,0.8912395
746.0,746.0,0.28881818
747.0,747.0,0.69460946
748.0,748.0,0.044202738
