Predictor variable,Categorical,Sample average
GBR_msk_alt,false,141.02734719313585
aspect,false,165.84638263652852
bio10,false,149.09245746166675
bio19,false,242.4830007181539
bio2,false,69.84933397367404
bio3,false,34.760974908803966
bio7,false,198.12260536094766
bio8,false,53.806233195515425
bio9,false,91.08853981711648
layer,false,0.11624017438863392
slope,false,1.5181659539411594
totareaco2181,false,244.27349467711016
w001001,false,29.649129743699902
